epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.199,2.15746,2.83175,1.06366,0.05207,0.57391,0.31089,0.11679,1.57789,3.61502,1.05495,0.00040012,0.00040012,0.00040012
2,377.253,2.08677,1.39583,1.0582,0.04174,0.54233,0.20003,0.06222,1.72708,3.30879,1.07949,0.000806466,0.000806466,0.000806466
3,556.897,2.0608,1.21636,1.05557,0.30388,0.26937,0.37664,0.15242,1.89062,2.60174,1.20251,0.00120461,0.00120461,0.00120461
4,738.674,2.0547,1.16615,1.05557,0.51538,0.46728,0.45383,0.18844,2.08774,1.91335,1.38593,0.00138656,0.00138656,0.00138656
5,918.006,2.02245,1.0955,1.04773,0.62085,0.58126,0.55134,0.2855,1.58428,1.69297,1.06603,0.00137241,0.00137241,0.00137241
6,1099.32,1.97274,1.05814,1.02956,0.41602,0.60957,0.5178,0.22604,1.79942,1.92396,1.13834,0.00135826,0.00135826,0.00135826
7,1278.98,1.97334,1.03372,1.02666,0.46231,0.37794,0.42308,0.15548,1.85406,1.75496,1.14571,0.00134412,0.00134412,0.00134412
8,1457.13,1.95498,1.00114,1.03001,0.58097,0.58111,0.53702,0.26619,1.60174,1.60975,1.08838,0.00132997,0.00132997,0.00132997
9,1636.5,1.94089,1.00675,1.02659,0.51038,0.5808,0.45354,0.20907,1.58364,1.61803,1.08493,0.00131582,0.00131582,0.00131582
10,1815.7,1.88569,0.97076,1.00558,0.48424,0.66743,0.48868,0.24382,1.56831,1.58202,1.08997,0.00130168,0.00130168,0.00130168
11,1996.12,1.92482,0.96311,1.00523,0.48956,0.58695,0.50683,0.25112,1.64104,1.76952,1.14813,0.00128753,0.00128753,0.00128753
